股票名称,股票代码,日期,开盘
日久光电,003015,2020-10-21,6.855
日久光电,003015,2020-10-22,9.385
日久光电,003015,2020-10-23,10.425
日久光电,003015,2020-10-26,11.575
日久光电,003015,2020-10-27,12.835
日久光电,003015,2020-10-28,14.225
日久光电,003015,2020-10-29,15.755
日久光电,003015,2020-10-30,17.435
日久光电,003015,2020-11-02,14.495
日久光电,003015,2020-11-03,13.495
日久光电,003015,2020-11-04,14.725
日久光电,003015,2020-11-05,15.065
日久光电,003015,2020-11-06,15.775
日久光电,003015,2020-11-09,16.525
日久光电,003015,2020-11-10,18.265
日久光电,003015,2020-11-11,16.285
日久光电,003015,2020-11-12,16.855
日久光电,003015,2020-11-13,15.485
日久光电,003015,2020-11-16,15.725
日久光电,003015,2020-11-17,15.725
日久光电,003015,2020-11-18,15.385
日久光电,003015,2020-11-19,15.945
日久光电,003015,2020-11-20,15.825
日久光电,003015,2020-11-23,15.595
日久光电,003015,2020-11-24,15.455
日久光电,003015,2020-11-25,15.565
日久光电,003015,2020-11-26,15.945
日久光电,003015,2020-11-27,16.855
日久光电,003015,2020-11-30,15.975
日久光电,003015,2020-12-01,15.695
日久光电,003015,2020-12-02,17.385
日久光电,003015,2020-12-03,18.965
日久光电,003015,2020-12-04,16.375
日久光电,003015,2020-12-07,17.275
日久光电,003015,2020-12-08,17.285
日久光电,003015,2020-12-09,16.865
日久光电,003015,2020-12-10,15.635
日久光电,003015,2020-12-11,16.125
日久光电,003015,2020-12-14,15.135
日久光电,003015,2020-12-15,15.195
日久光电,003015,2020-12-16,16.095
日久光电,003015,2020-12-17,15.615
日久光电,003015,2020-12-18,15.795
日久光电,003015,2020-12-21,15.175
日久光电,003015,2020-12-22,15.265
日久光电,003015,2020-12-23,14.665
日久光电,003015,2020-12-24,14.195
日久光电,003015,2020-12-25,13.675
日久光电,003015,2020-12-28,14.275
日久光电,003015,2020-12-29,13.575
日久光电,003015,2020-12-30,13.575
日久光电,003015,2020-12-31,13.775
日久光电,003015,2021-01-04,13.885
日久光电,003015,2021-01-05,14.105
日久光电,003015,2021-01-06,14.115
日久光电,003015,2021-01-07,13.405
日久光电,003015,2021-01-08,12.755
日久光电,003015,2021-01-11,12.835
日久光电,003015,2021-01-12,11.985
日久光电,003015,2021-01-13,12.035
日久光电,003015,2021-01-14,11.275
日久光电,003015,2021-01-15,11.505
日久光电,003015,2021-01-18,12.095
日久光电,003015,2021-01-19,12.155
日久光电,003015,2021-01-20,12.345
日久光电,003015,2021-01-21,12.505
日久光电,003015,2021-01-22,12.395
日久光电,003015,2021-01-25,11.955
日久光电,003015,2021-01-26,11.785
日久光电,003015,2021-01-27,12.025
日久光电,003015,2021-01-28,11.975
日久光电,003015,2021-01-29,12.175
日久光电,003015,2021-02-01,11.305
日久光电,003015,2021-02-02,11.995
日久光电,003015,2021-02-03,11.685
日久光电,003015,2021-02-04,11.185
日久光电,003015,2021-02-05,10.975
日久光电,003015,2021-02-08,11.305
日久光电,003015,2021-02-09,11.105
日久光电,003015,2021-02-10,11.285
日久光电,003015,2021-02-18,11.185
日久光电,003015,2021-02-19,11.395
日久光电,003015,2021-02-22,12.265
日久光电,003015,2021-02-23,12.285
日久光电,003015,2021-02-24,11.975
日久光电,003015,2021-02-25,12.015
日久光电,003015,2021-02-26,11.305
日久光电,003015,2021-03-01,11.755
日久光电,003015,2021-03-02,12.275
日久光电,003015,2021-03-03,12.285
日久光电,003015,2021-03-04,12.235
日久光电,003015,2021-03-05,12.375
日久光电,003015,2021-03-08,12.255
日久光电,003015,2021-03-09,11.805
日久光电,003015,2021-03-10,11.705
日久光电,003015,2021-03-11,11.775
日久光电,003015,2021-03-12,11.845
日久光电,003015,2021-03-15,11.425
日久光电,003015,2021-03-16,11.325
日久光电,003015,2021-03-17,11.435
日久光电,003015,2021-03-18,12.105
日久光电,003015,2021-03-19,11.505
日久光电,003015,2021-03-22,12.335
日久光电,003015,2021-03-23,13.025
日久光电,003015,2021-03-24,12.835
